total_reward,energy,overshoot,vel_pen,sym_pen
-100.1914,3.8396,0.0000,0.0000,0.0000
-100.1353,2.7174,0.0000,0.0000,0.0000
-100.0777,1.5653,0.0000,0.0000,0.0000
-100.0442,0.8948,0.0000,0.0000,0.0000
-100.1140,2.2918,0.0000,0.0000,0.0000
-100.0936,1.8831,0.0000,0.0000,0.0000
-100.0989,1.9889,0.0000,0.0000,0.0000
-100.1661,3.3351,0.0000,0.0000,0.0000
-100.1575,3.1613,0.0000,0.0000,0.0000
-100.0534,1.0794,0.0000,0.0000,0.0000
-100.0980,1.9726,0.0000,0.0000,0.0000
-100.0949,1.9096,0.0000,0.0000,0.0000
-100.3901,7.8160,0.0000,0.0000,0.0000
-100.2177,4.3662,0.0000,0.0000,0.0000
-100.1058,2.1275,0.0000,0.0000,0.0000
-100.1438,2.8879,0.0000,0.0000,0.0000
-100.1229,2.4691,0.0000,0.0000,0.0000
-100.0438,0.8878,0.0000,0.0000,0.0000
-100.0249,0.5078,0.0000,0.0000,0.0000
-100.0408,0.8273,0.0000,0.0000,0.0000
-100.0569,1.1500,0.0000,0.0000,0.0000
-100.0390,0.7905,0.0000,0.0000,0.0000
-100.0312,0.6347,0.0000,0.0000,0.0000
-100.1413,2.8375,0.0000,0.0000,0.0000
-100.0985,1.9819,0.0000,0.0000,0.0000
-100.0461,0.9318,0.0000,0.0000,0.0000
-100.0699,1.4074,0.0000,0.0000,0.0000
-100.1285,2.5821,0.0000,0.0000,0.0000
-100.0394,0.7985,0.0000,0.0000,0.0000
-100.0299,0.6078,0.0000,0.0000,0.0000
-100.0165,0.3385,0.0000,0.0000,0.0000
-100.0144,0.2964,0.0000,0.0000,0.0000
-100.0035,0.0772,0.0000,0.0000,0.0000
-100.0141,0.2902,0.0000,0.0000,0.0000
-100.0604,1.2195,0.0000,0.0000,0.0000
-100.0149,0.3065,0.0000,0.0000,0.0000
-100.0181,0.3717,0.0000,0.0000,0.0000
-100.0388,0.7883,0.0000,0.0000,0.0000
-100.0505,1.0204,0.0000,0.0000,0.0000
-100.0457,0.9249,0.0000,0.0000,0.0000
-100.0350,0.7102,0.0000,0.0000,0.0000
-100.0693,1.3965,0.0000,0.0000,0.0000
-100.0709,1.4295,0.0000,0.0000,0.0000
-100.0286,0.5824,0.0000,0.0000,0.0000
-100.0224,0.4584,0.0000,0.0000,0.0000
-100.0095,0.1995,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9996,0.0000,0.0000,0.0000,0.0000
-99.9998,0.0039,0.0000,0.0000,0.0000
-99.9998,0.0048,0.0000,0.0000,0.0000
-100.0102,0.2127,0.0000,0.0000,0.0000
-100.0179,0.3670,0.0000,0.0000,0.0000
-100.0273,0.5553,0.0000,0.0000,0.0000
-100.0354,0.7188,0.0000,0.0000,0.0000
-100.2193,4.3958,0.0000,0.0000,0.0000
-100.5479,10.9692,0.0000,0.0000,0.0000
-100.0264,0.5376,0.0000,0.0000,0.0000
8.0558,20.9555,0.0000,0.0010,0.0019
42.4052,18.0823,0.0397,0.0185,0.0314
42.4150,18.0971,0.0400,0.0186,0.0316
42.3408,17.9948,0.0381,0.0179,0.0304
42.1997,17.8071,0.0350,0.0120,0.0314
40.2230,18.1881,0.0361,0.0174,0.0288
41.3039,18.0917,0.0373,0.0177,0.0302
37.1038,18.7993,0.0340,0.0156,0.0269
38.1337,18.5405,0.0343,0.0170,0.0300
39.2517,18.4671,0.0365,0.0182,0.0329
38.1018,18.4435,0.0334,0.0166,0.0294
37.1070,18.6427,0.0339,0.0156,0.0268
40.2445,18.2475,0.0367,0.0176,0.0291
39.1186,18.2903,0.0337,0.0170,0.0299
40.2213,18.1799,0.0361,0.0173,0.0287
40.3452,18.4321,0.0387,0.0192,0.0333
40.2283,18.1912,0.0362,0.0174,0.0288
